Name,Age,Gender,Date of Birth,Location,Current Savings,Debt Amount,Job Type,Education Level,Number of Logins,Satisfaction Rating,Product Usage,Social Media Usage,ISA at 18
Andrew Payne,16,Male,25/08/2005,,338,1902,Full-time,GCSEs,29,1,Occasional,Frequent,All withdrawn
Ashley Gentry,16,Male,03/01/2007,,208,4611,Full-time,Apprenticeships,47,1,Rare,Frequent,All withdrawn
Edward Donovan,16,Male,04/11/2005,,340,3109,Unemployed,GCSEs,20,3,Rare,Frequent,All withdrawn
Richard Holder,16,Male,24/08/2005,,591,4680,Full-time,GCSEs,38,1,Frequent,Frequent,All withdrawn
Heather Sheppard,16,Male,30/11/2006,,461,2607,Unemployed,BTECs,44,2,Rare,Frequent,All withdrawn
Jessica Moore,17,Male,13/11/2005,,468,1353,Student,Other Qualifications,42,3,Rare,Frequent,All withdrawn
Vincent Bennett,17,Female,12/11/2006,,675,1036,Part-time,A-Levels,23,1,Rare,Frequent,All withdrawn
Johnny Cole,16,Female,30/08/2006,,475,4812,Student,Other Qualifications,34,1,Occasional,Frequent,All withdrawn
April Conley,17,Male,31/08/2005,,217,2656,Student,BTECs,49,2,Occasional,Frequent,All withdrawn
James Miles,16,Female,26/11/2005,,162,1996,Student,GCSEs,22,1,Occasional,Frequent,All withdrawn
Valerie Taylor,17,Female,10/07/2005,,274,2806,Student,Other Qualifications,34,3,Rare,Frequent,All withdrawn
Jamie Barr,17,Female,24/08/2005,,623,960,Student,BTECs,34,2,Occasional,Frequent,All withdrawn
Amy Vega,16,Male,22/02/2006,,522,514,Student,Apprenticeships,46,1,Occasional,Frequent,All withdrawn
Jose Cohen,16,Female,28/10/2006,,715,1011,Student,GCSEs,35,3,Rare,Frequent,All withdrawn
Wendy Medina,17,Female,21/03/2007,,529,3820,Student,A-Levels,32,1,Rare,Frequent,All withdrawn
Barbara Price,17,Female,11/11/2006,,662,2901,Student,A-Levels,46,2,Frequent,Frequent,All withdrawn
Jasmine Davidson,16,Male,13/10/2005,,958,4989,Student,BTECs,44,2,Rare,Occasional,All withdrawn
Julie Smith,16,Female,14/10/2006,,342,4089,Student,Other Qualifications,20,3,Occasional,Frequent,All withdrawn
Traci Collins,16,Female,02/11/2005,,982,4380,Student,Other Qualifications,35,3,Frequent,Frequent,All withdrawn
Terrence Roth,16,Male,20/05/2006,,814,4166,Student,BTECs,31,2,Rare,Frequent,All withdrawn
Dr. Sheila Jackson,17,Male,29/08/2006,,282,4456,Student,Apprenticeships,33,3,Rare,Frequent,All withdrawn
Joan Carey,16,Female,11/10/2005,,232,1719,Student,Other Qualifications,34,1,Occasional,Frequent,All withdrawn
Carly Fields,16,Male,03/06/2005,,157,4085,Student,GCSEs,34,3,Rare,Frequent,All withdrawn
Sheila Griffith,16,Male,27/11/2006,,856,1164,Student,BTECs,23,2,Rare,Frequent,All withdrawn
Shane Yates,17,Male,13/12/2006,,321,3029,Student,Apprenticeships,43,3,Rare,Frequent,All withdrawn
Amy Moran,16,Male,12/01/2007,,309,4242,Student,BTECs,46,1,Occasional,Frequent,All withdrawn
Cassandra Cherry MD,17,Male,17/03/2007,,73,3512,Student,BTECs,36,1,Occasional,Frequent,All withdrawn
Bradley Nelson,16,Female,08/11/2006,,494,4502,Student,GCSEs,22,2,Rare,Frequent,All withdrawn
Joel Melendez,16,Female,18/11/2006,,796,4823,Student,BTECs,35,1,Rare,Frequent,All withdrawn
Amy Kennedy,16,Male,04/10/2006,,704,941,Student,GCSEs,23,3,Occasional,Frequent,All withdrawn
Heather Gutierrez,17,Female,07/08/2005,,10,3746,Student,BTECs,38,2,Rare,Frequent,All withdrawn
Nicole Anderson,16,Male,19/01/2007,,230,780,Student,BTECs,24,1,Frequent,Frequent,All withdrawn
Miranda Watts,17,Male,15/04/2005,,875,3100,Student,A-Levels,50,3,Occasional,Frequent,All withdrawn
Sabrina Austin,17,Female,10/09/2006,,149,988,Student,Apprenticeships,28,3,Frequent,Frequent,All withdrawn
Brian Mitchell,17,Male,20/02/2006,Here is a list of 90 UK locations:,657,3899,Student,BTECs,20,3,Rare,Frequent,All withdrawn
Mark Bell,16,Male,11/11/2005,,172,1790,Student,BTECs,35,3,Occasional,Frequent,All withdrawn
Holly Rodriguez,17,Female,13/06/2005,London,647,4374,Student,A-Levels,28,1,Rare,Frequent,All withdrawn
Gregory Espinoza,16,Male,24/09/2005,Manchester,70,4541,Student,Other Qualifications,23,1,Occasional,Frequent,All withdrawn
Patricia Ochoa,17,Male,22/01/2007,Birmingham,938,1162,Student,BTECs,28,1,Occasional,Frequent,All withdrawn
Frances Powers,16,Male,29/12/2005,Liverpool,168,3290,Student,Apprenticeships,26,3,Rare,Frequent,All withdrawn
Jack Schneider,17,Male,11/08/2006,Bristol,493,2360,Student,A-Levels,45,2,Occasional,Frequent,All withdrawn
Patricia Meyers,16,Female,11/05/2006,Leeds,561,2415,Student,Other Qualifications,26,1,Rare,Occasional,All withdrawn
Luis Singleton,17,Male,29/01/2007,Glasgow,429,4407,Student,Other Qualifications,44,3,Occasional,Frequent,All withdrawn
Michele Frazier,16,Female,21/04/2006,Sheffield,777,2491,Student,Other Qualifications,35,1,Occasional,Frequent,All withdrawn
Jeremy Webb,17,Male,10/08/2005,Edinburgh,303,1761,Student,Apprenticeships,38,2,Occasional,Occasional,All withdrawn
Jose White,17,Female,21/09/2005,Southampton,39,3402,Student,Other Qualifications,30,2,Occasional,Frequent,All withdrawn
Teresa Delacruz,16,Female,09/05/2005,Newcastle,60,4498,Student,GCSEs,42,3,Frequent,Frequent,All withdrawn
Steve Brewer,16,Female,01/09/2005,Nottingham,747,3871,Student,Other Qualifications,35,3,Rare,Frequent,All withdrawn
Steven Diaz,17,Male,30/10/2005,Leicester,74,4859,Student,Other Qualifications,27,2,Rare,Frequent,All withdrawn
Michael Dunn,17,Male,11/07/2006,Brighton,39,1949,Student,Apprenticeships,47,2,Frequent,Frequent,All withdrawn
Jason Thompson,16,Male,30/05/2006,Portsmouth,24,3934,Student,BTECs,20,1,Rare,Frequent,All withdrawn
Anthony Sanchez,17,Female,18/02/2006,Oxford,325,4516,Student,BTECs,39,1,Occasional,Frequent,All withdrawn
Jennifer Jones,16,Male,01/08/2006,York,74,1804,Student,Other Qualifications,42,1,Occasional,Frequent,All withdrawn
Breanna Gomez,17,Male,05/04/2006,Cambridge,470,540,Student,BTECs,42,3,Rare,Frequent,All withdrawn
Alvin Nichols,17,Male,20/10/2006,Dundee,601,1646,Student,BTECs,26,3,Occasional,Frequent,All withdrawn
Michael Stevens,16,Male,27/04/2006,Aberdeen,937,2004,Student,GCSEs,32,2,Occasional,Frequent,All withdrawn
Richard Eaton,17,Male,12/06/2006,Inverness,53,3158,Student,Other Qualifications,29,1,Occasional,Frequent,All withdrawn
Rose Figueroa,16,Female,04/03/2007,,318,2664,Student,GCSEs,47,1,Frequent,Frequent,All withdrawn
Jordan James,17,Male,23/07/2006,,469,1484,Student,A-Levels,32,3,Rare,Frequent,All withdrawn
Charles Johnson DDS,17,Female,07/07/2005,,63,1316,Student,BTECs,40,2,Occasional,Frequent,All withdrawn
Charles Moore,17,Female,05/08/2006,,550,2159,Student,A-Levels,25,1,Rare,Frequent,All withdrawn
Crystal Richards,16,Female,21/05/2005,,923,616,Student,Other Qualifications,46,1,Rare,Frequent,All withdrawn
Melissa Miller,16,Male,23/11/2005,,386,1015,Student,Apprenticeships,45,1,Occasional,Occasional,All withdrawn
Laurie Taylor,17,Male,19/11/2006,,947,3904,Student,Other Qualifications,28,1,Rare,Occasional,All withdrawn
Tara Bowman,16,Male,07/07/2005,,609,3473,Student,GCSEs,44,1,Rare,Frequent,All withdrawn
Sylvia Kim DVM,16,Male,23/07/2006,,245,787,Student,GCSEs,41,2,Occasional,Frequent,All withdrawn
Andrea Taylor,16,Female,26/08/2005,,949,2182,Student,Other Qualifications,34,1,Occasional,Frequent,All withdrawn
Kimberly Bishop,16,Male,07/06/2006,,293,4442,Student,Other Qualifications,39,1,Frequent,Frequent,All withdrawn
Richard Sanchez,17,Female,11/07/2005,,562,656,Student,A-Levels,28,2,Rare,Frequent,All withdrawn
Valerie Silva,17,Male,21/03/2007,,995,3764,Student,A-Levels,23,1,Rare,Frequent,All withdrawn
Gregory Fernandez,17,Female,17/12/2006,,768,1111,Student,Other Qualifications,36,1,Rare,Frequent,All withdrawn
Sylvia Wilson,17,Female,04/04/2006,,766,3768,Student,Other Qualifications,26,3,Occasional,Frequent,All withdrawn
Ashley Owens,16,Female,17/11/2006,,34,912,Student,Other Qualifications,45,1,Occasional,Frequent,All withdrawn
Donna Flores,16,Male,06/01/2007,,210,3684,Student,GCSEs,44,2,Occasional,Frequent,All withdrawn
James Watson,16,Male,17/07/2005,,25,4237,Student,Apprenticeships,46,1,Occasional,Frequent,All withdrawn
John Davis Jr.,17,Male,19/03/2007,,427,2283,Student,A-Levels,42,3,Occasional,Frequent,All withdrawn
Troy Chavez,17,Male,16/11/2005,,112,3730,Student,Other Qualifications,35,3,Rare,Occasional,All withdrawn
William Sutton,16,Female,03/09/2005,,922,1409,Student,Apprenticeships,47,1,Rare,Frequent,All withdrawn
Michael Burns,16,Female,19/03/2007,,303,820,Student,GCSEs,22,1,Rare,Frequent,All withdrawn
Mark Graves,17,Female,22/03/2007,,815,3711,Student,Other Qualifications,24,1,Rare,Frequent,All withdrawn
Kendra Baker,16,Male,24/04/2006,,516,4374,Student,Apprenticeships,28,1,Occasional,Frequent,All withdrawn
Timothy Fisher,16,Male,25/09/2005,,545,2883,Student,BTECs,27,3,Rare,Frequent,All withdrawn
Sara Davis,16,Female,22/06/2005,,698,1826,Student,GCSEs,48,3,Rare,Frequent,All withdrawn
Joseph Cohen,17,Female,02/03/2006,,288,938,Student,Apprenticeships,26,2,Rare,Frequent,All withdrawn
Lauren Osborn,17,Female,08/10/2006,,435,2732,Student,Apprenticeships,36,1,Frequent,Frequent,All withdrawn
Zachary Matthews,16,Female,15/11/2006,,372,1496,Student,BTECs,45,2,Rare,Frequent,All withdrawn
Kelly Maddox,16,Male,15/04/2006,,147,4886,Student,Apprenticeships,36,1,Occasional,Occasional,All withdrawn
Kelly Meadows,17,Male,29/01/2007,,963,4753,Student,BTECs,38,2,Frequent,Frequent,All withdrawn
Matthew Baker,16,Female,21/10/2006,,548,3376,Student,GCSEs,47,3,Rare,Frequent,All withdrawn
Erica Guerrero,16,Male,06/10/2006,,140,1541,Student,Other Qualifications,21,1,Occasional,Frequent,All withdrawn
Rodney King,17,Female,22/03/2007,,123,2075,Student,A-Levels,32,3,Rare,Frequent,All withdrawn
Sara Walton,16,Female,07/11/2006,,401,4595,Student,BTECs,43,1,Rare,Frequent,All withdrawn
Marcus Lynn,16,Female,29/01/2006,,908,1109,Student,GCSEs,47,3,Occasional,Frequent,All withdrawn
Garrett Johnson,16,Male,01/12/2005,,521,1403,Student,Other Qualifications,35,2,Occasional,Frequent,All withdrawn
Dr. Erica Glass,17,Male,05/06/2005,,590,4719,Student,Apprenticeships,45,3,Occasional,Frequent,All withdrawn
Jennifer Day,17,Male,01/11/2005,,284,1314,Student,BTECs,41,3,Rare,Frequent,All withdrawn
Christopher Perkins,16,Male,11/11/2006,,624,2745,Student,GCSEs,35,3,Occasional,Frequent,All withdrawn
Melissa Smith,17,Female,29/04/2005,,702,972,Student,Apprenticeships,50,2,Rare,Frequent,All withdrawn
Kari Berry,16,Male,12/11/2006,,249,1238,Student,BTECs,34,3,Occasional,Frequent,All withdrawn
Jacqueline Young DVM,17,Male,15/06/2005,,306,2611,Student,A-Levels,38,1,Rare,Frequent,All withdrawn
Megan Howard,17,Male,02/11/2005,,278,4110,Student,Other Qualifications,27,2,Occasional,Frequent,All withdrawn
Heather Mcdonald,16,Male,10/05/2006,,961,4430,Student,BTECs,29,1,Occasional,Frequent,All withdrawn
Amanda Kelley,17,Female,30/03/2006,,320,2049,Student,Other Qualifications,20,1,Rare,Frequent,All withdrawn
Samuel Roach Jr.,17,Male,14/09/2005,,114,1695,Student,Other Qualifications,43,2,Occasional,Occasional,All withdrawn
Mark Mcdonald,17,Male,04/12/2006,,489,2396,Student,Apprenticeships,45,1,Rare,Frequent,All withdrawn
Andrew Griffith,16,Female,13/07/2005,,655,1848,Student,Apprenticeships,40,2,Frequent,Frequent,All withdrawn
Luis Spencer,17,Female,10/11/2006,,460,4277,Student,A-Levels,43,2,Occasional,Frequent,All withdrawn
Andrea Carter,16,Male,27/04/2005,,618,1284,Student,GCSEs,31,3,Rare,Frequent,All withdrawn
Katherine Hughes,17,Male,23/12/2005,,834,741,Student,BTECs,50,1,Rare,Frequent,All withdrawn
Randy Burgess,17,Male,14/02/2006,Maidstone,112,3119,Student,BTECs,35,3,Occasional,Frequent,All withdrawn
Tina Ross,16,Male,09/06/2005,Canterbury,463,2821,Student,Other Qualifications,26,2,Occasional,Frequent,All withdrawn
Christopher Mitchell,16,Female,30/06/2006,Tonbridge,661,3823,Student,BTECs,21,2,Rare,Frequent,All withdrawn
Jesus Robbins,17,Female,18/02/2006,Sevenoaks,135,1949,Student,A-Levels,38,2,Rare,Occasional,All withdrawn
Hunter Miller,17,Male,18/12/2006,Tunbridge Wells,482,2298,Student,BTECs,34,2,Rare,Frequent,All withdrawn
Angel Jones,16,Female,09/04/2007,Chatham,174,4936,Student,Apprenticeships,27,1,Rare,Frequent,All withdrawn
Phillip Duncan,17,Female,25/08/2006,Gillingham,525,877,Student,Other Qualifications,22,3,Rare,Frequent,All withdrawn
Amanda Gross,16,Female,19/02/2007,Rochester,889,2927,Student,GCSEs,40,1,Occasional,Frequent,All withdrawn
Matthew Ryan,16,Male,12/02/2007,Dartford,769,4425,Student,Other Qualifications,34,1,Rare,Frequent,All withdrawn
Christopher Armstrong,16,Female,25/08/2006,Gravesend,319,4407,Student,GCSEs,23,3,Rare,Frequent,All withdrawn
Amy Mitchell,17,Male,27/01/2007,Margate,647,4705,Student,Apprenticeships,27,2,Occasional,Frequent,All withdrawn
Thomas Sheppard,16,Male,20/04/2005,Ramsgate,63,2206,Student,BTECs,35,3,Frequent,Frequent,All withdrawn
Victoria Simmons,17,Female,03/01/2006,Dover,892,2396,Student,A-Levels,36,1,Occasional,Frequent,All withdrawn
Keith Jacobson,17,Male,21/06/2006,Folkestone,747,2907,Student,Apprenticeships,23,1,Frequent,Frequent,All withdrawn
Stephen Ewing,17,Male,27/04/2006,Sittingbourne,112,2379,Student,A-Levels,50,1,Rare,Frequent,All withdrawn
Joe Martin,17,Male,22/08/2006,Sheerness,692,932,Student,Apprenticeships,48,3,Occasional,Frequent,All withdrawn
Haley Stevens,16,Male,05/06/2006,,268,4605,Student,GCSEs,47,1,Occasional,Frequent,All withdrawn
Mary Allen,17,Male,26/01/2007,,439,1557,Student,Other Qualifications,31,2,Frequent,Frequent,All withdrawn
Tamara Hall,16,Female,20/03/2006,,193,2073,Student,Apprenticeships,38,3,Occasional,Frequent,All withdrawn
Robert Franklin,17,Male,07/04/2007,,384,2034,Student,Other Qualifications,23,2,Rare,Frequent,All withdrawn
Kaitlin Schwartz,17,Female,18/10/2005,,632,2828,Student,Apprenticeships,35,3,Frequent,Frequent,All withdrawn
Christine Bates MD,17,Female,22/07/2006,,905,2404,Student,A-Levels,34,3,Rare,Frequent,All withdrawn
Tiffany Henderson,17,Male,24/07/2005,,310,1922,Student,Other Qualifications,24,1,Rare,Frequent,All withdrawn
Steven Wright,16,Male,19/09/2006,,433,4481,Student,Other Qualifications,41,1,Rare,Frequent,All withdrawn
Justin Thomas,16,Female,22/12/2005,,651,3531,Student,Other Qualifications,34,3,Rare,Occasional,All withdrawn
Sandra Medina,17,Female,18/10/2005,,939,3304,Student,BTECs,50,3,Rare,Frequent,All withdrawn
Gregory Reynolds,17,Female,19/04/2005,,362,2256,Student,BTECs,49,1,Rare,Frequent,All withdrawn
Rhonda Green,16,Male,18/04/2006,,618,1011,Student,Apprenticeships,31,3,Rare,Frequent,All withdrawn
Elizabeth Davis,16,Female,22/11/2006,,281,2133,Student,GCSEs,45,3,Occasional,Frequent,All withdrawn
Benjamin Armstrong,16,Male,29/12/2006,,259,4950,Student,Apprenticeships,26,1,Rare,Frequent,All withdrawn
Marie Jackson,16,Female,10/03/2007,,803,4571,Student,Apprenticeships,32,2,Occasional,Frequent,All withdrawn
Mrs. Kim Chavez,17,Female,15/10/2005,,810,3433,Student,Other Qualifications,47,2,Rare,Frequent,All withdrawn
Holly Freeman,17,Male,07/08/2006,,44,3196,Student,A-Levels,48,1,Rare,Frequent,All withdrawn
Stacey Adams,17,Male,26/07/2005,,266,2467,Student,BTECs,47,1,Occasional,Frequent,All withdrawn
Stephanie Higgins,17,Male,27/12/2005,,754,3970,Student,Other Qualifications,33,1,Occasional,Frequent,All withdrawn
Darryl Valdez,17,Female,10/09/2005,,885,866,Student,Other Qualifications,43,3,Occasional,Frequent,All withdrawn
Jon Warren,17,Female,19/04/2005,,769,2973,Student,BTECs,37,1,Occasional,Frequent,All withdrawn
Taylor Perez,17,Male,02/03/2007,,24,2699,Student,Apprenticeships,47,3,Occasional,Frequent,All withdrawn
Derrick Ford,16,Male,09/07/2006,,381,3383,Student,GCSEs,33,2,Rare,Frequent,All withdrawn
Kristi Moran,16,Female,23/09/2005,,686,4481,Student,BTECs,38,3,Occasional,Frequent,All withdrawn
Nichole Ortiz,16,Female,19/03/2007,,15,2193,Student,Other Qualifications,34,2,Rare,Frequent,All withdrawn
James Pennington,17,Male,14/12/2006,,531,4393,Student,BTECs,44,2,Occasional,Frequent,All withdrawn
Jenna Huang,16,Female,10/07/2006,,904,4598,Student,GCSEs,47,1,Rare,Frequent,All withdrawn
Monica Cisneros,17,Female,01/05/2006,,52,4619,Student,Apprenticeships,28,2,Rare,Frequent,All withdrawn
Seth Roberts,17,Female,02/09/2006,,941,4728,Student,BTECs,25,2,Rare,Frequent,All withdrawn
Ryan Turner,16,Male,09/09/2005,,579,1525,Student,BTECs,37,3,Occasional,Frequent,All withdrawn
Sarah Peterson,16,Male,17/04/2005,,361,3334,Student,GCSEs,30,1,Rare,Occasional,All withdrawn
Mary Dunn,16,Male,28/01/2006,Maidstone,412,1241,Student,GCSEs,26,3,Rare,Frequent,All withdrawn
Daniel Juarez,16,Female,08/04/2006,Canterbury,329,2914,Student,Other Qualifications,41,1,Rare,Frequent,All withdrawn
Brandon Mitchell,17,Female,02/02/2007,Tonbridge,406,1075,Student,Apprenticeships,20,3,Occasional,Frequent,All withdrawn
Keith Young,17,Female,30/04/2005,Sevenoaks,839,3383,Student,A-Levels,26,3,Frequent,Frequent,All withdrawn
Danielle Lewis,16,Male,07/06/2005,Tunbridge Wells,75,4430,Student,BTECs,43,3,Rare,Frequent,All withdrawn
Emily Patton,16,Male,16/12/2006,Chatham,402,1444,Student,BTECs,23,3,Rare,Frequent,All withdrawn
Joshua Marshall,17,Male,28/09/2006,Gillingham,557,2594,Student,Other Qualifications,42,2,Rare,Frequent,All withdrawn
Robert Aguilar,16,Male,11/05/2006,Rochester,608,3503,Student,Other Qualifications,39,1,Rare,Frequent,All withdrawn
Todd Taylor,16,Male,14/03/2007,Dartford,946,4358,Student,BTECs,38,3,Rare,Occasional,All withdrawn
Lori Clark,17,Female,14/01/2006,Gravesend,829,3440,Student,Other Qualifications,40,2,Rare,Frequent,All withdrawn
Alex Stanley,17,Male,02/08/2005,Margate,13,3632,Student,A-Levels,39,3,Occasional,Occasional,All withdrawn
Victor Cook,16,Male,19/07/2006,Ramsgate,703,1832,Student,GCSEs,36,3,Occasional,Frequent,All withdrawn
Richard Moore,17,Female,05/09/2006,Dover,176,1429,Student,BTECs,42,1,Occasional,Frequent,All withdrawn
Ashley Martin,16,Male,28/09/2006,Folkestone,866,1532,Student,BTECs,50,2,Rare,Occasional,All withdrawn
Kelly Lee,17,Female,14/11/2006,Sittingbourne,90,3733,Student,Other Qualifications,50,2,Occasional,Frequent,All withdrawn
Crystal Martin,17,Male,10/09/2006,Sheerness,655,3008,Student,A-Levels,38,1,Rare,Frequent,All withdrawn
Malik Reeves,17,Male,08/04/2007,,980,2192,Student,Other Qualifications,48,3,Occasional,Frequent,All withdrawn
Jeffrey Morgan,17,Male,11/12/2005,,501,4302,Student,Apprenticeships,42,2,Rare,Frequent,All withdrawn
Mrs. Morgan Lynch,17,Male,12/12/2005,,378,4973,Student,BTECs,33,3,Frequent,Occasional,All withdrawn
Angelica Smith,17,Male,20/01/2007,,949,1439,Student,BTECs,35,1,Rare,Frequent,All withdrawn
Gary Clark,17,Male,27/01/2007,,624,522,Student,Other Qualifications,31,3,Occasional,Frequent,All withdrawn
Kimberly Jones,17,Male,24/10/2006,,690,4928,Student,Other Qualifications,42,2,Occasional,Frequent,All withdrawn
Frederick Jones,17,Female,14/12/2006,,736,2677,Student,Other Qualifications,33,2,Rare,Frequent,All withdrawn
Maureen Myers,16,Male,02/11/2005,,228,1837,Student,Other Qualifications,26,3,Occasional,Frequent,All withdrawn
Nathan Cunningham,17,Male,08/03/2007,,48,3013,Student,A-Levels,43,2,Rare,Frequent,All withdrawn
Rachel Chandler,17,Female,30/04/2006,,6,3768,Student,BTECs,41,2,Rare,Occasional,All withdrawn
Maria Hogan,17,Male,26/03/2007,,97,4580,Student,Apprenticeships,20,1,Occasional,Frequent,All withdrawn
Robin Johnson,16,Male,29/03/2007,,696,3302,Student,Apprenticeships,47,1,Rare,Frequent,All withdrawn
Michael Vega,16,Male,09/06/2005,,635,1737,Student,Other Qualifications,23,3,Rare,Frequent,All withdrawn
Elizabeth Thomas,17,Female,30/01/2007,,324,3796,Student,A-Levels,42,3,Occasional,Frequent,All withdrawn
Megan Brock,16,Female,22/08/2005,,651,3400,Student,GCSEs,45,2,Frequent,Occasional,All withdrawn
Bonnie Booth,17,Male,18/09/2006,,619,4751,Student,Other Qualifications,25,1,Occasional,Frequent,All withdrawn
William Jones,16,Male,11/05/2005,,615,3877,Student,Other Qualifications,32,1,Occasional,Frequent,All withdrawn
Jacob Parker,16,Female,29/12/2005,,840,1049,Student,GCSEs,46,3,Occasional,Frequent,All withdrawn
Anthony Alexander,16,Male,07/12/2006,,363,1265,Student,Other Qualifications,43,1,Frequent,Frequent,All withdrawn
Mark Hall,17,Female,05/12/2005,Cardiff,968,1900,Student,Other Qualifications,32,3,Rare,Frequent,All withdrawn
Benjamin Skinner DDS,16,Female,06/07/2005,Swansea,191,1241,Student,BTECs,22,3,Occasional,Frequent,All withdrawn
Robert Trujillo,16,Female,24/05/2005,Belfast,923,3846,Student,Apprenticeships,34,3,Rare,Frequent,All withdrawn
Jonathon Gardner,17,Male,10/01/2007,Dublin,217,3037,Student,BTECs,30,1,Rare,Frequent,All withdrawn
Thomas Brown,17,Female,16/02/2006,Cork,419,741,Student,Apprenticeships,27,2,Rare,Frequent,All withdrawn
Luis Merritt,17,Male,28/09/2006,Galway,141,3031,Student,BTECs,43,1,Occasional,Frequent,All withdrawn
Benjamin Miranda,16,Male,30/04/2005,Limerick,674,3927,Student,Other Qualifications,24,2,Rare,Frequent,All withdrawn
Stephen Diaz,16,Male,24/01/2007,Waterford,96,3450,Student,GCSEs,30,2,Occasional,Frequent,All withdrawn
Sherry Arnold,16,Male,13/02/2007,Newcastle upon Tyne,720,2244,Student,GCSEs,44,3,Occasional,Frequent,All withdrawn
Barbara Gomez,17,Female,14/09/2005,Durham,551,1329,Student,A-Levels,49,1,Rare,Frequent,All withdrawn
Brittany Robbins,16,Female,13/01/2007,Sunderland,212,2659,Student,GCSEs,42,2,Frequent,Occasional,All withdrawn
Ellen Rogers,17,Male,05/07/2006,Middlesbrough,809,3818,Student,A-Levels,45,1,Occasional,Frequent,All withdrawn
Leslie Anderson,16,Female,13/08/2006,Hull,1000,3930,Student,Apprenticeships,31,1,Rare,Frequent,All withdrawn
Deborah Hobbs,17,Male,01/12/2005,Bradford,988,883,Student,Apprenticeships,31,3,Occasional,Frequent,All withdrawn
Gabriel Rose,16,Male,11/07/2006,Derby,18,3397,Student,Other Qualifications,24,1,Rare,Frequent,All withdrawn
Barbara Brady,17,Male,21/10/2006,Stoke-on-Trent,572,2224,Student,Apprenticeships,47,3,Rare,Frequent,All withdrawn
Mark Cross,17,Female,20/10/2005,Coventry,142,4747,Student,Apprenticeships,35,3,Rare,Frequent,All withdrawn
Andrew Henderson,16,Male,03/02/2007,Reading,829,3040,Student,Apprenticeships,21,2,Rare,Frequent,All withdrawn
Emily Orr,16,Male,31/05/2006,Milton Keynes,831,4565,Student,Other Qualifications,35,3,Rare,Frequent,All withdrawn
Glenn Wyatt,16,Female,29/12/2006,Northampton,462,2470,Student,Apprenticeships,23,3,Occasional,Frequent,All withdrawn
Jessica Morton,16,Male,30/08/2005,Slough,467,4967,Student,BTECs,21,2,Occasional,Frequent,All withdrawn
Karen Moore,16,Male,12/05/2005,Ipswich,17,2826,Student,Apprenticeships,28,2,Rare,Frequent,All withdrawn
Jeffrey Gilbert,16,Female,20/04/2005,Norwich,524,574,Student,Apprenticeships,34,3,Occasional,Frequent,All withdrawn
